,ID,Pred
0,2019_1101_1113,0.07692582632695107
1,2019_1101_1120,0.008313100894558936
2,2019_1101_1124,0.04709611542874241
3,2019_1101_1125,0.08456670728294456
4,2019_1101_1133,0.5585211995308638
5,2019_1101_1138,0.0300870543780754
6,2019_1101_1153,0.045174622339102806
7,2019_1101_1159,0.37520041746743654
8,2019_1101_1181,0.0032482495865690576
9,2019_1101_1192,0.8309090911860204
10,2019_1101_1196,0.022019312467708427
11,2019_1101_1199,0.014360161851159669
12,2019_1101_1205,0.5377473812910708
13,2019_1101_1209,0.178373572411432
14,2019_1101_1211,0.0042920659149587636
15,2019_1101_1222,0.02060127069340405
16,2019_1101_1233,0.7968109839367183
17,2019_1101_1234,0.03231926373990542
18,2019_1101_1235,0.02269535362198153
19,2019_1101_1242,0.010409523777301711
20,2019_1101_1243,0.025283788506763095
21,2019_1101_1246,0.006399880961276182
22,2019_1101_1251,0.16484564816498315
23,2019_1101_1257,0.02713965721218951
24,2019_1101_1261,0.02867185659622751
25,2019_1101_1266,0.07544523411607523
26,2019_1101_1268,0.03166352888738354
27,2019_1101_1276,0.006896767144723637
28,2019_1101_1277,0.0031177851483847312
29,2019_1101_1278,0.03076658812463847
30,2019_1101_1279,0.08324167509951023
31,2019_1101_1280,0.035550504231823266
32,2019_1101_1285,0.379845896730966
33,2019_1101_1293,0.07596121144588469
34,2019_1101_1295,0.6830214812753742
35,2019_1101_1297,0.27590592361880284
36,2019_1101_1300,0.9742304571529466
37,2019_1101_1305,0.046957978846701304
38,2019_1101_1308,0.09201019469988574
39,2019_1101_1314,0.006230756257875245
40,2019_1101_1318,0.18855446874288923
41,2019_1101_1326,0.03431033774275294
42,2019_1101_1328,0.020570501343210465
43,2019_1101_1330,0.2791457336874546
44,2019_1101_1332,0.026556173267327527
45,2019_1101_1341,0.7674944735283774
46,2019_1101_1345,0.008097911975414455
47,2019_1101_1371,0.08205680976139917
48,2019_1101_1385,0.19318406172324848
49,2019_1101_1387,0.2424558671726506
50,2019_1101_1388,0.04541573155109045
51,2019_1101_1393,0.05916921631642113
52,2019_1101_1396,0.12321211309167641
53,2019_1101_1397,0.010264826650043028
54,2019_1101_1403,0.003665494872839225
55,2019_1101_1414,0.1337139753571091
56,2019_1101_1416,0.05164846801231317
57,2019_1101_1429,0.09137987308191645
58,2019_1101_1433,0.07797843321526857
59,2019_1101_1436,0.21013749529183956
60,2019_1101_1437,0.046129793522234126
61,2019_1101_1438,0.0019405348920892359
62,2019_1101_1439,0.018949376813936963
63,2019_1101_1449,0.04521684256586126
64,2019_1101_1458,0.015582488368843492
65,2019_1101_1459,0.024787487730601625
66,2019_1101_1463,0.16029703136920853
67,2019_1113_1120,0.09139628340340741
68,2019_1113_1124,0.3722788172077217
69,2019_1113_1125,0.5257306679484638
70,2019_1113_1133,0.9381984520984058
71,2019_1113_1138,0.2712596891216746
72,2019_1113_1153,0.36213202159384966
73,2019_1113_1159,0.8781364387657591
74,2019_1113_1181,0.037632984820126156
