TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank_x,team_x,conference_x,record_x,adj_em_x,adj_o_x,adj_o_rank_x,adj_d_x,adj_d_rank_x,adj_tempo_x,adj_tempo_rank_x,luck_x,luck_rank_x,sos_adj_em_x,sos_adj_em_rank_x,sos_adj_o_x,sos_adj_o_rank_x,sos_adj_d_x,sos_adj_d_rank_x,nc_sos_adj_em_x,nc_sos_adj_em_rank_x,ncaa_seed_x,rank_y,team_y,conference_y,record_y,adj_em_y,adj_o_y,adj_o_rank_y,adj_d_y,adj_d_rank_y,adj_tempo_y,adj_tempo_rank_y,luck_y,luck_rank_y,sos_adj_em_y,sos_adj_em_rank_y,sos_adj_o_y,sos_adj_o_rank_y,sos_adj_d_y,sos_adj_d_rank_y,nc_sos_adj_em_y,nc_sos_adj_em_rank_y,ncaa_seed_y
Alabama,2018,1104,1985,2020,W09,57,Alabama,SEC,20-16,13.41,108.7,106,95.2,20,68.7,151,0.017,130,11.17,8,110.9,19,99.7,7,2.54,84,9,51.0,Alabama,SEC,19-15,13.83,108.5,115.0,94.6,13.0,68.8,137.0,0.0,173.0,11.03,10.0,111.0,24.0,100.0,8.0,3.02,85.0,9.0
Arizona,2018,1112,1985,2020,Y04,28,Arizona,P12,27-8,17.7,118.0,15,100.4,83,67.1,224,0.036000000000000004,88,5.96,68,108.5,65,102.5,73,2.51,86,4,21.0,Arizona,P12,27-7,19.37,119.0,15.0,99.6,70.0,67.3,215.0,0.025,116.0,6.33,66.0,108.9,65.0,102.6,69.0,2.82,86.0,4.0
Arizona St,2018,1113,1985,2020,X11a,49,Arizona St.,P12,20-12,14.13,116.7,18,102.6,123,71.3,43,-0.083,340,5.48,71,107.4,77,101.9,64,0.94,138,11,45.0,Arizona St.,P12,20-11,14.71,117.7,17.0,102.9,124.0,71.6,36.0,-0.07200000000000001,332.0,5.8,72.0,108.1,75.0,102.3,62.0,1.53,125.0,11.0
Arkansas,2018,1116,1985,2020,W07,44,Arkansas,SEC,23-12,14.69,116.3,20,101.7,106,69.7,91,0.059000000000000004,56,9.9,25,110.5,28,100.6,27,0.87,141,7,37.0,Arkansas,SEC,23-11,15.63,117.3,19.0,101.7,103.0,69.7,90.0,0.062,41.0,10.15,22.0,111.0,25.0,100.9,25.0,1.3,135.0,7.0
Auburn,2018,1120,1985,2020,X04,23,Auburn,SEC,26-8,18.69,115.4,26,96.7,37,72.6,18,0.034,94,7.52,57,108.8,58,101.3,51,-1.86,211,4,16.0,Auburn,SEC,25-7,20.63,118.2,16.0,97.6,44.0,72.3,21.0,-0.012,204.0,7.53,56.0,109.1,61.0,101.5,46.0,-1.75,215.0,4.0
Bucknell,2018,1137,1985,2020,X14,97,Bucknell,Pat,25-10,7.31,109.5,90,102.2,116,71.4,40,0.006,160,-4.35,268,102.8,260,107.1,264,5.79,31,14,100.0,Bucknell,Pat,25-9,6.81,109.2,99.0,102.4,112.0,71.4,37.0,0.02,125.0,-4.85,279.0,102.9,271.0,107.7,272.0,6.15,29.0,14.0
Buffalo,2018,1138,1992,2020,Y13,67,Buffalo,MAC,27-9,11.53,114.7,34,103.2,135,72.7,16,0.006,158,-0.06,140,105.1,145,105.2,147,3.87,62,13,77.0,Buffalo,MAC,26-8,10.49,114.3,42.0,103.8,138.0,72.8,15.0,-0.005,188.0,-1.02,165.0,104.8,174.0,105.8,167.0,4.08,66.0,13.0
Butler,2018,1139,1985,2020,W10,20,Butler,BE,21-14,19.05,116.2,22,97.2,45,67.6,207,-0.047,290,11.21,7,112.0,1,100.8,34,0.11,154,10,25.0,Butler,BE,20-13,17.87,115.8,32.0,97.9,48.0,67.8,189.0,-0.037000000000000005,271.0,10.58,17.0,111.9,7.0,101.3,42.0,0.27,157.0,10.0
CS Fullerton,2018,1168,1985,2020,W15,162,Cal St. Fullerton,BW,20-12,0.62,103.7,192,103.1,133,69.6,98,0.09699999999999999,14,-1.2,167,103.8,204,105.0,139,2.76,83,15,153.0,Cal St. Fullerton,BW,20-11,1.32,105.0,176.0,103.7,134.0,69.5,97.0,0.08900000000000001,19.0,-1.28,171.0,103.9,218.0,105.1,138.0,3.47,80.0,15.0
Cincinnati,2018,1153,1985,2020,Y02,4,Cincinnati,Amer,31-5,26.6,113.4,49,86.8,2,64.5,330,-0.019,230,3.46,87,106.9,89,103.4,90,-4.21,294,2,4.0,Cincinnati,Amer,30-4,27.0,113.2,54.0,86.2,2.0,64.7,322.0,-0.004,183.0,3.18,89.0,107.0,97.0,103.8,91.0,-4.14,295.0,2.0
Clemson,2018,1155,1985,2020,X05,14,Clemson,ACC,25-10,21.65,114.2,44,92.6,7,66.1,274,-0.009000000000000001,203,10.22,20,110.6,26,100.4,23,-1.91,214,5,19.0,Clemson,ACC,23-9,20.27,113.8,48.0,93.5,8.0,65.6,297.0,0.004,163.0,9.76,30.0,110.9,28.0,101.1,36.0,-1.85,217.0,5.0
Col Charleston,2018,1158,1992,2020,X13,115,College of Charleston,CAA,26-8,5.16,108.7,105,103.6,149,64.9,323,0.035,91,-4.06,257,104.8,153,108.9,332,-7.64,337,13,120.0,College of Charleston,CAA,26-7,4.73,109.9,87.0,105.2,167.0,64.6,324.0,0.049,63.0,-4.61,270.0,104.9,170.0,109.5,339.0,-7.46,337.0,13.0
Creighton,2018,1166,1985,2020,Y08,30,Creighton,BE,21-12,16.91,115.5,25,98.6,58,70.8,57,-0.027999999999999997,259,9.4,33,110.8,21,101.4,54,-4.2,292,8,27.0,Creighton,BE,21-11,17.28,116.5,22.0,99.2,61.0,70.8,53.0,-0.018000000000000002,226.0,9.23,38.0,111.1,20.0,101.9,55.0,-3.82,291.0,8.0
