TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank_x,team_x,conference_x,record_x,adj_em_x,adj_o_x,adj_o_rank_x,adj_d_x,adj_d_rank_x,adj_tempo_x,adj_tempo_rank_x,luck_x,luck_rank_x,sos_adj_em_x,sos_adj_em_rank_x,sos_adj_o_x,sos_adj_o_rank_x,sos_adj_d_x,sos_adj_d_rank_x,nc_sos_adj_em_x,nc_sos_adj_em_rank_x,ncaa_seed_x,rank_y,team_y,conference_y,record_y,adj_em_y,adj_o_y,adj_o_rank_y,adj_d_y,adj_d_rank_y,adj_tempo_y,adj_tempo_rank_y,luck_y,luck_rank_y,sos_adj_em_y,sos_adj_em_rank_y,sos_adj_o_y,sos_adj_o_rank_y,sos_adj_d_y,sos_adj_d_rank_y,nc_sos_adj_em_y,nc_sos_adj_em_rank_y,ncaa_seed_y
Arizona,2015,1112,1985,2020,Z02,4,Arizona,P12,34-4,32.36,119.9,7,87.5,3,65.8,102,-0.033,258,7.37,45,108.3,38,100.9,49,0.09,157,2,2.0,Arizona,P12,31-3,0.9674,116.0,11.0,86.4,3.0,66.7,78.0,-0.027999999999999997,250.0,0.6482,59.0,105.1,63.0,99.6,50.0,0.5043,167.0,2.0
Arkansas,2015,1116,1985,2020,Z05,29,Arkansas,SEC,27-9,16.44,114.7,26,98.3,67,69.3,13,0.045,72,6.09,64,107.2,71,101.1,59,-3.44,263,5,29.0,Arkansas,SEC,26-8,0.8416,113.0,21.0,97.7,81.0,70.0,9.0,0.047,67.0,0.6463,62.0,105.2,58.0,99.8,59.0,0.4479,243.0,5.0
BYU,2015,1140,1985,2020,Z11a,28,BYU,WCC,25-10,16.69,119.4,10,102.7,139,70.4,5,-0.055,307,3.96,83,107.0,74,103.0,105,3.78,51,11,31.0,BYU,WCC,25-9,0.8395,116.7,9.0,101.1,139.0,70.4,6.0,-0.042,280.0,0.611,77.0,104.9,68.0,100.9,102.0,0.5914,72.0,11.0
Baylor,2015,1124,1985,2020,Z03,14,Baylor,B12,24-10,22.14,116.6,13,94.5,23,61.5,307,-0.035,268,10.22,13,108.9,22,98.7,6,-0.51,172,3,15.0,Baylor,B12,24-9,0.9038,114.8,13.0,94.5,33.0,62.2,296.0,-0.018000000000000002,226.0,0.7356,6.0,106.4,17.0,97.4,3.0,0.4988,173.0,3.0
Belmont,2015,1125,2000,2020,W15,142,Belmont,OVC,22-11,2.27,110.2,65,107.9,240,66.9,57,0.065,41,-3.33,225,102.4,250,105.7,222,-1.68,209,15,149.0,Belmont,OVC,22-10,0.5363,107.9,64.0,106.5,259.0,67.1,63.0,0.071,34.0,0.4101,253.0,100.4,279.0,103.6,230.0,0.4852,192.0,15.0
Boise St,2015,1129,1985,2020,W11a,47,Boise St.,MWC,25-9,13.85,111.9,50,98.1,63,62.8,259,0.009000000000000001,165,0.94,121,104.8,116,103.9,133,-0.31,166,11,39.0,Boise St.,MWC,25-8,0.8091,109.4,48.0,96.5,64.0,63.7,232.0,0.027000000000000003,119.0,0.5195,131.0,102.7,122.0,102.0,150.0,0.5301,141.0,11.0
Buffalo,2015,1138,1992,2020,Y12,58,Buffalo,MAC,23-10,11.87,111.3,57,99.4,87,68.3,23,0.001,182,1.83,110,106.0,90,104.2,149,0.81,130,12,54.0,Buffalo,MAC,23-9,0.7759,109.8,47.0,98.5,94.0,69.3,20.0,0.011000000000000001,155.0,0.5760000000000001,94.0,104.6,75.0,101.9,143.0,0.5951,62.0,12.0
Butler,2015,1139,1985,2020,Y06,20,Butler,BE,23-11,20.09,110.2,64,90.1,8,63.2,243,-0.023,233,9.72,17,110.6,4,100.9,48,0.69,133,6,23.0,Butler,BE,22-10,0.8624,107.5,67.0,91.7,10.0,63.8,231.0,-0.013999999999999999,218.0,0.6833,30.0,107.0,10.0,100.0,70.0,0.4922,181.0,6.0
Cincinnati,2015,1153,1985,2020,Y08,43,Cincinnati,Amer,23-11,14.15,108.2,94,94.0,17,59.8,339,-0.016,220,3.39,87,104.9,114,101.5,68,1.69,108,8,34.0,Cincinnati,Amer,22-10,0.8242,106.7,76.0,93.3,18.0,60.0,341.0,-0.027000000000000003,246.0,0.5699,99.0,102.2,161.0,99.8,57.0,0.5476,116.0,8.0
Coastal Car,2015,1157,1987,2020,Z16,140,Coastal Carolina,BSth,24-10,2.38,106.7,119,104.3,170,64.1,190,0.006,171,-6.45,319,102.2,261,108.6,337,-1.05,187,16,148.0,Coastal Carolina,BSth,24-9,0.5371,103.5,136.0,102.2,164.0,64.4,190.0,0.006,173.0,0.3445,329.0,100.4,282.0,106.1,338.0,0.4842,193.0,16.0
