adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,threeptavg,twoptavg,win14pct,ftpct,OffRebGame,DefRebGame,TO_game,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed,T2_threeptavg,T2_twoptavg,T2_win14pct,T2_ftpct,T2_OffRebGame,T2_DefRebGame,T2_TO_game
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,11.55,109.7,0.051,70.8,5.56,107.3,101.7,1.55,11.0,0.0,0.0,0.0,0.0,12.0,27.0,13.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,25.0,120.9,0.008,67.9,12.23,110.7,98.5,2.63,5.0,0.0,0.0,1.0,0.0,11.0,21.0,12.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,16.48,115.3,-0.028999999999999998,65.2,10.49,108.8,98.3,-4.04,9.0,0.0,0.0,0.0,0.0,13.0,24.0,13.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,14.09,115.6,0.025,71.3,-1.98,103.6,105.6,3.78,11.0,0.0,0.0,0.0,0.0,8.0,29.0,11.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,0.09,101.5,0.035,65.3,-1.66,102.6,104.3,-3.94,15.0,0.0,0.0,1.0,0.0,9.0,25.0,12.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,19.85,115.2,0.055999999999999994,73.6,3.14,105.5,102.4,1.15,6.0,0.0,0.0,1.0,0.0,12.0,28.0,11.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,17.5,112.3,0.05,63.4,5.12,107.1,102.0,-2.85,7.0,0.0,0.0,0.0,0.0,12.0,23.0,10.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,4.6,110.5,0.012,66.4,-3.83,102.4,106.3,0.84,15.0,0.0,0.0,1.0,0.0,9.0,25.0,13.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,30.62,120.0,0.018000000000000002,72.1,12.85,110.7,97.8,5.08,1.0,0.0,0.0,0.0,0.0,13.0,28.0,13.0
1.35,103.4,0.12300000000000001,66.1,-8.67,100.0,108.7,-4.75,15.0,0.0,0.0,1.0,0.0,9.0,22.0,11.0,-4.22,106.5,0.04,66.8,-8.16,99.5,107.7,-1.86,16.0,0.0,0.0,1.0,0.0,9.0,23.0,13.0
