TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank_x,team_x,conference_x,record_x,adj_em_x,adj_o_x,adj_o_rank_x,adj_d_x,adj_d_rank_x,adj_tempo_x,adj_tempo_rank_x,luck_x,luck_rank_x,sos_adj_em_x,sos_adj_em_rank_x,sos_adj_o_x,sos_adj_o_rank_x,sos_adj_d_x,sos_adj_d_rank_x,nc_sos_adj_em_x,nc_sos_adj_em_rank_x,ncaa_seed_x,rank_y,team_y,conference_y,record_y,adj_em_y,adj_o_y,adj_o_rank_y,adj_d_y,adj_d_rank_y,adj_tempo_y,adj_tempo_rank_y,luck_y,luck_rank_y,sos_adj_em_y,sos_adj_em_rank_y,sos_adj_o_y,sos_adj_o_rank_y,sos_adj_d_y,sos_adj_d_rank_y,nc_sos_adj_em_y,nc_sos_adj_em_rank_y,ncaa_seed_y
Abilene Chr,2019,1101,2014,2020,Y15,152,Abilene Christian,Slnd,27-7,1.35,103.4,196,102.0,121,66.1,256,0.12300000000000001,5,-8.67,341,100.0,326,108.7,336,-4.75,295,15,145,Abilene Christian,Slnd,27-6,2.09,103.6,186,101.5,119,66.0,254,0.087,17,-9.04,343,99.6,327,108.6,343,-4.51,295,15.0
Arizona St,2019,1113,1985,2020,X11a,57,Arizona St.,P12,23-11,11.55,109.7,73,98.2,64,70.8,47,0.051,59,5.56,65,107.3,64,101.7,66,1.55,112,11,61,Arizona St.,P12,22-10,11.21,109.8,68,98.6,79,70.5,46,0.046,72,4.81,68,106.6,71,101.8,70,1.8,113,11.0
Auburn,2019,1120,1985,2020,Y05,11,Auburn,SEC,30-10,25.0,120.9,6,95.9,36,67.9,155,0.008,162,12.23,11,110.7,3,98.5,20,2.63,96,5,13,Auburn,SEC,26-9,23.33,119.6,8,96.2,45,67.5,166,0.003,180,10.89,25,109.6,21,98.7,30,2.81,96,5.0
Baylor,2019,1124,1985,2020,X09,35,Baylor,B12,20-14,16.48,115.3,20,98.8,75,65.2,297,-0.028999999999999998,255,10.49,28,108.8,43,98.3,18,-4.04,276,9,41,Baylor,B12,19-13,15.29,113.5,28,98.2,75,65.3,291,-0.032,260,9.18,43,107.9,57,98.7,28,-4.2,289,9.0
Belmont,2019,1125,2000,2020,W11a,49,Belmont,OVC,27-6,14.09,115.6,18,101.5,117,71.3,34,0.025,113,-1.98,194,103.6,183,105.6,198,3.78,63,11,54,Belmont,OVC,26-5,13.07,114.8,20,101.8,127,71.1,31,0.040999999999999995,78,-3.23,230,102.7,227,105.9,221,3.44,87,11.0
Bradley,2019,1133,1985,2020,W15,161,Bradley,MVC,20-15,0.09,101.5,234,101.4,113,65.3,292,0.035,93,-1.66,183,102.6,242,104.3,147,-3.94,272,15,165,Bradley,MVC,20-14,-0.36,100.9,246,101.2,117,65.1,299,0.04,80,-2.12,205,102.1,259,104.2,164,-3.81,275,15.0
Buffalo,2019,1138,1992,2020,X06,22,Buffalo,MAC,32-4,19.85,115.2,21,95.4,31,73.6,11,0.055999999999999994,50,3.14,89,105.5,100,102.4,82,1.15,121,6,22,Buffalo,MAC,31-3,20.34,114.9,19,94.6,29,73.8,9,0.040999999999999995,77,2.8,93,105.2,112,102.4,91,1.58,117,6.0
Cincinnati,2019,1153,1985,2020,Z07,29,Cincinnati,Amer,28-7,17.5,112.3,42,94.8,28,63.4,338,0.05,64,5.12,67,107.1,66,102.0,73,-2.85,243,7,32,Cincinnati,Amer,28-6,17.05,111.6,46,94.5,28,63.2,338,0.06,44,4.2,73,106.3,75,102.1,85,-2.63,243,7.0
Colgate,2019,1159,1985,2020,Z15,126,Colgate,Pat,24-11,4.6,110.5,60,105.9,201,66.4,237,0.012,148,-3.83,250,102.4,254,106.3,223,0.84,131,15,129,Colgate,Pat,24-10,4.29,110.0,63,105.8,202,66.3,236,0.021,129,-4.21,254,101.8,273,106.0,224,1.2,130,15.0
Duke,2019,1181,1985,2020,W01,4,Duke,ACC,32-6,30.62,120.0,7,89.3,6,72.1,20,0.018000000000000002,134,12.85,7,110.7,4,97.8,11,5.08,40,1,3,Duke,ACC,29-5,31.99,120.1,6,88.1,6,72.2,18,0.018000000000000002,137,13.25,7,110.4,4,97.2,11,5.48,38,1.0
