TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank_x,team_x,conference_x,record_x,adj_em_x,adj_o_x,adj_o_rank_x,adj_d_x,adj_d_rank_x,adj_tempo_x,adj_tempo_rank_x,luck_x,luck_rank_x,sos_adj_em_x,sos_adj_em_rank_x,sos_adj_o_x,sos_adj_o_rank_x,sos_adj_d_x,sos_adj_d_rank_x,nc_sos_adj_em_x,nc_sos_adj_em_rank_x,ncaa_seed_x,rank_y,team_y,conference_y,record_y,adj_em_y,adj_o_y,adj_o_rank_y,adj_d_y,adj_d_rank_y,adj_tempo_y,adj_tempo_rank_y,luck_y,luck_rank_y,sos_adj_em_y,sos_adj_em_rank_y,sos_adj_o_y,sos_adj_o_rank_y,sos_adj_d_y,sos_adj_d_rank_y,nc_sos_adj_em_y,nc_sos_adj_em_rank_y,ncaa_seed_y
Arizona,2017,1112,1985,2020,X02,18,Arizona,P12,32-5,23.31,118.4,15,95.1,29,66.0,277,0.046,66,7.13,59,108.7,56,101.5,60,1.69,107,2,20.0,Arizona,P12,30-4,22.74,117.6,20.0,94.8,28.0,65.5,277.0,0.064,37.0,6.6,65.0,108.1,59.0,101.5,69.0,1.53,119.0,2.0
Arkansas,2017,1116,1985,2020,Z08,35,Arkansas,SEC,26-10,16.25,116.1,28,99.8,76,69.7,87,0.086,9,8.37,45,108.6,59,100.2,28,-1.55,202,8,38.0,Arkansas,SEC,25-9,15.6,116.6,26.0,101.0,96.0,69.1,95.0,0.09300000000000001,7.0,7.54,56.0,107.9,64.0,100.4,39.0,-1.19,203.0,8.0
Baylor,2017,1124,1985,2020,W03,13,Baylor,B12,27-8,24.23,117.1,23,92.9,16,63.7,328,0.023,126,13.08,5,111.7,6,98.6,6,1.67,110,3,13.0,Baylor,B12,25-7,25.01,117.3,22.0,92.3,14.0,62.8,337.0,0.002,181.0,12.77,5.0,111.3,10.0,98.5,6.0,1.64,116.0,3.0
Bucknell,2017,1137,1985,2020,X13,76,Bucknell,Pat,26-9,9.38,109.7,78,100.3,83,70.0,83,0.006,174,-3.62,241,101.4,298,105.0,145,0.89,129,13,80.0,Bucknell,Pat,26-8,8.72,109.1,87.0,100.3,88.0,69.4,86.0,0.018000000000000002,143.0,-4.37,264.0,100.9,311.0,105.2,163.0,1.09,130.0,13.0
Butler,2017,1139,1985,2020,Z04,25,Butler,BE,25-9,20.76,117.7,20,97.0,49,65.9,278,0.002,185,10.81,22,110.8,17,100.0,25,5.12,40,4,26.0,Butler,BE,23-8,20.91,118.0,17.0,97.1,49.0,65.1,295.0,-0.001,186.0,10.72,22.0,110.6,22.0,99.8,28.0,5.3,41.0,4.0
Cincinnati,2017,1153,1985,2020,Z06,23,Cincinnati,Amer,30-6,22.18,114.9,34,92.8,15,63.5,330,0.026000000000000002,116,4.17,80,107.1,75,103.0,94,-0.47,167,6,22.0,Cincinnati,Amer,29-5,22.32,114.2,35.0,91.9,11.0,63.5,327.0,0.028999999999999998,102.0,3.56,84.0,106.5,80.0,103.0,99.0,-0.22,167.0,6.0
Creighton,2017,1166,1985,2020,Y06,28,Creighton,BE,25-10,18.83,115.3,32,96.5,46,71.2,45,0.004,181,8.97,39,110.3,27,101.3,57,-1.24,192,6,27.0,Creighton,BE,25-9,19.59,115.6,32.0,96.0,40.0,70.6,49.0,0.009000000000000001,170.0,8.98,40.0,110.2,25.0,101.2,57.0,-1.3,205.0,6.0
Dayton,2017,1173,1985,2020,Z07,39,Dayton,A10,24-8,15.57,111.9,53,96.3,43,68.4,163,-0.021,235,3.64,82,105.9,90,102.3,75,2.53,77,7,36.0,Dayton,A10,24-7,15.67,112.3,49.0,96.6,45.0,68.3,137.0,-0.011000000000000001,217.0,3.38,86.0,105.6,100.0,102.2,77.0,2.9,73.0,7.0
Duke,2017,1181,1985,2020,W02,14,Duke,ACC,28-9,24.17,121.0,6,96.8,47,68.3,175,0.013999999999999999,150,11.43,12,111.0,13,99.6,21,0.03,153,2,12.0,Duke,ACC,27-8,25.09,121.0,6.0,95.9,39.0,67.7,183.0,0.027000000000000003,109.0,12.39,6.0,111.5,7.0,99.1,13.0,0.06,159.0,2.0
ETSU,2017,1190,1985,2020,W13,67,East Tennessee St.,SC,27-8,11.1,108.0,106,96.9,48,70.1,74,0.005,179,-1.17,163,105.4,106,106.6,240,0.38,143,13,64.0,East Tennessee St.,SC,27-7,11.49,108.0,109.0,96.5,44.0,69.8,70.0,0.002,182.0,-1.39,174.0,105.3,109.0,106.7,260.0,0.54,147.0,13.0
FL Gulf Coast,2017,1195,2008,2020,X14,108,Florida Gulf Coast,ASun,26-8,5.07,109.4,83,104.4,168,65.9,280,0.037000000000000005,83,-4.8,275,103.7,194,108.5,328,2.14,90,14,108.0,Florida Gulf Coast,ASun,26-7,5.01,109.5,82.0,104.5,172.0,64.9,299.0,0.051,63.0,-4.99,277.0,103.6,202.0,108.6,330.0,2.69,81.0,14.0
Florida,2017,1196,1985,2020,W04,5,Florida,SEC,27-9,27.5,116.9,25,89.5,5,69.0,117,-0.040999999999999995,286,12.46,7,110.3,28,97.8,2,8.19,15,4,9.0,Florida,SEC,24-8,26.39,115.9,31.0,89.5,4.0,68.6,119.0,-0.046,292.0,11.61,13.0,110.1,28.0,98.5,5.0,8.86,11.0,4.0
Florida St,2017,1199,1985,2020,X03,26,Florida St.,ACC,26-9,20.06,115.5,31,95.5,31,71.3,41,0.039,78,8.82,40,110.6,19,101.8,68,-3.95,272,3,19.0,Florida St.,ACC,25-8,22.74,116.7,25.0,94.0,24.0,70.5,52.0,0.023,126.0,9.69,31.0,110.9,18.0,101.2,56.0,-3.61,268.0,3.0
Gonzaga,2017,1211,1985,2020,X01,1,Gonzaga,WCC,37-2,32.05,118.4,16,86.3,1,70.1,76,0.02,133,2.99,89,106.2,84,103.3,105,1.01,127,1,1.0,Gonzaga,WCC,32-1,33.05,120.7,10.0,87.6,2.0,69.8,71.0,0.016,151.0,0.61,128.0,104.9,138.0,104.2,129.0,0.72,138.0,1.0
Iona,2017,1233,1985,2020,Y14,117,Iona,MAAC,22-13,4.2,110.8,67,106.6,211,70.6,60,0.013000000000000001,158,-1.94,191,103.7,193,105.7,179,-0.05,157,14,118.0,Iona,MAAC,22-12,4.0,110.2,69.0,106.2,202.0,70.3,57.0,0.011000000000000001,164.0,-2.57,207.0,103.3,216.0,105.9,206.0,0.26,157.0,14.0
Iowa St,2017,1235,1985,2020,Y05,17,Iowa St.,B12,24-11,23.45,119.7,11,96.3,42,68.4,170,-0.019,234,14.05,3,112.6,2,98.6,5,-0.74,175,5,17.0,Iowa St.,B12,23-10,23.11,119.6,13.0,96.4,43.0,67.9,170.0,-0.01,213.0,13.66,4.0,112.1,3.0,98.4,4.0,-0.28,169.0,5.0
Jacksonville St,2017,1240,1996,2020,Y15,157,Jacksonville St.,OVC,20-15,0.63,105.8,147,105.2,186,63.6,329,0.027999999999999997,107,-1.68,183,104.2,167,105.9,197,0.61,134,15,158.0,Jacksonville St.,OVC,20-14,0.58,105.4,153.0,104.8,177.0,63.3,329.0,0.028999999999999998,104.0,-2.1,193.0,104.0,179.0,106.1,222.0,1.06,131.0,15.0
Kansas,2017,1242,1985,2020,Y01,6,Kansas,B12,31-5,27.45,121.9,5,94.5,24,70.2,72,0.067,32,12.43,8,111.2,10,98.8,8,2.39,80,1,10.0,Kansas,B12,28-4,25.98,120.8,9.0,94.9,30.0,70.0,67.0,0.07400000000000001,25.0,12.26,7.0,111.1,15.0,98.8,10.0,2.75,76.0,1.0
Kansas St,2017,1243,1985,2020,Z11a,30,Kansas St.,B12,21-14,17.44,113.0,42,95.6,33,66.2,268,-0.028999999999999998,256,11.56,11,110.6,20,99.0,11,-5.31,305,11,29.0,Kansas St.,B12,20-13,17.55,112.0,50.0,94.5,27.0,65.9,269.0,-0.04,282.0,10.97,20.0,109.9,31.0,99.0,11.0,-4.88,300.0,11.0
Kent,2017,1245,1985,2020,Z14,141,Kent St.,MAC,22-14,1.68,104.9,159,103.3,142,68.3,176,0.024,122,-1.92,188,104.4,160,106.3,225,-5.91,316,14,141.0,Kent St.,MAC,22-13,1.73,104.4,169.0,102.7,131.0,68.0,160.0,0.022000000000000002,129.0,-2.28,200.0,103.9,183.0,106.2,230.0,-5.54,316.0,14.0
Kentucky,2017,1246,1985,2020,Z02,4,Kentucky,SEC,32-6,27.72,119.1,12,91.4,7,72.0,26,0.006,175,10.98,19,110.5,24,99.5,15,3.74,56,2,4.0,Kentucky,SEC,29-5,27.27,119.2,14.0,91.9,9.0,72.5,16.0,0.008,171.0,9.79,28.0,109.4,38.0,99.6,23.0,3.93,58.0,2.0
Louisville,2017,1257,1985,2020,Y02,9,Louisville,ACC,25-9,25.51,117.2,22,91.7,8,67.9,194,-0.023,244,11.14,17,111.6,7,100.5,33,4.2,48,2,6.0,Louisville,ACC,24-8,26.72,117.1,23.0,90.4,6.0,67.7,180.0,-0.011000000000000001,216.0,12.2,8.0,111.9,4.0,99.7,26.0,4.62,49.0,2.0
MTSU,2017,1292,1985,2020,Z12,240,Montana St.,BSky,16-16,-6.51,103.1,195,109.6,271,69.3,103,-0.025,250,-6.68,316,103.4,216,110.1,346,-2.98,241,12,242.0,Montana St.,BSky,16-16,-6.71,103.0,198.0,109.7,276.0,68.9,104.0,-0.025,250.0,-6.63,317.0,103.3,220.0,109.9,347.0,-2.62,237.0,
Marquette,2017,1266,1985,2020,W10,32,Marquette,BE,19-13,16.58,120.8,8,104.2,165,70.1,75,-0.057999999999999996,311,9.03,37,109.1,50,100.1,27,-2.16,219,10,28.0,Marquette,BE,19-12,17.57,121.0,7.0,103.4,154.0,69.7,77.0,-0.062,313.0,8.94,42.0,109.1,45.0,100.1,33.0,-1.84,214.0,10.0
Maryland,2017,1268,1985,2020,X06,46,Maryland,B10,24-9,14.34,113.1,41,98.7,64,67.2,219,0.061,39,7.74,54,108.3,62,100.6,40,-1.1,188,6,45.0,Maryland,B10,24-8,14.83,113.6,39.0,98.8,64.0,66.8,222.0,0.064,36.0,7.66,54.0,107.9,63.0,100.3,37.0,-0.94,186.0,6.0
Miami FL,2017,1274,1986,2020,Y08,42,Miami FL,ACC,21-12,15.03,109.9,76,94.9,25,63.0,339,0.031,98,9.39,32,110.7,18,101.3,58,-4.48,286,8,32.0,Miami FL,ACC,21-11,16.96,110.4,68.0,93.4,20.0,62.8,338.0,0.03,97.0,10.12,26.0,111.0,16.0,100.9,54.0,-4.07,282.0,8.0
Michigan,2017,1276,1985,2020,Y07,20,Michigan,B10,26-12,23.05,122.3,4,99.2,69,63.1,338,-0.025,252,10.76,23,110.3,26,99.5,18,-0.53,170,7,21.0,Michigan,B10,24-11,22.62,121.6,5.0,99.0,69.0,62.6,339.0,-0.031,255.0,9.68,32.0,109.2,41.0,99.5,19.0,-0.27,168.0,7.0
Michigan St,2017,1277,1985,2020,Y09,40,Michigan St.,B10,20-15,15.51,111.4,58,95.9,37,66.9,241,-0.011000000000000001,214,10.99,18,110.6,21,99.6,20,4.01,51,9,43.0,Michigan St.,B10,19-14,14.98,110.6,66.0,95.6,34.0,66.5,242.0,-0.012,219.0,10.67,23.0,110.2,24.0,99.5,20.0,4.19,54.0,9.0
Minnesota,2017,1278,1985,2020,Z05,37,Minnesota,B10,24-10,16.0,109.7,77,93.7,22,69.5,98,0.022000000000000002,127,8.09,49,108.9,52,100.8,45,-1.81,209,5,33.0,Minnesota,B10,24-9,16.59,109.5,81.0,93.0,18.0,69.1,97.0,0.027999999999999997,107.0,8.15,49.0,108.8,51.0,100.6,43.0,-1.38,208.0,5.0
Mt St Mary's,2017,1291,1989,2020,W16a,209,Mount St. Mary's,NEC,20-16,-3.86,99.5,269,103.4,151,66.8,245,0.07400000000000001,20,-4.49,266,102.0,277,106.5,236,11.52,6,16,213.0,Mount St. Mary's,NEC,19-15,-4.23,98.9,271.0,103.2,143.0,66.6,234.0,0.06,42.0,-5.29,290.0,101.5,290.0,106.8,264.0,11.69,7.0,16.0
N Kentucky,2017,1297,2013,2020,Z15,138,Northern Kentucky,Horz,24-11,1.91,106.8,130,104.9,178,68.0,189,0.073,22,-3.35,234,102.9,242,106.3,224,-2.55,228,15,147.0,Northern Kentucky,Horz,24-10,1.34,106.6,133.0,105.3,187.0,67.6,191.0,0.08199999999999999,13.0,-3.89,248.0,102.5,258.0,106.4,245.0,-2.27,227.0,15.0
NC Central,2017,1300,2008,2020,Y16a,161,North Carolina Central,MEAC,25-9,0.36,102.2,214,101.9,109,66.7,254,-0.055,304,-12.44,348,97.7,348,110.1,347,-0.66,172,16,152.0,North Carolina Central,MEAC,25-8,1.03,102.9,201.0,101.9,112.0,66.1,256.0,-0.042,286.0,-12.28,350.0,97.8,348.0,110.0,349.0,-0.33,172.0,16.0
