ID,Pred
2017_1112_1116,0.6399382316139239
2017_1112_1124,0.34170072214273856
2017_1112_1137,0.9203730884270999
2017_1112_1139,0.5476050727702572
2017_1112_1153,0.4888320309734856
2017_1112_1166,0.630901522358508
2017_1112_1173,0.8192308382430734
2017_1112_1181,0.4283206156414639
2017_1112_1190,0.8661485760252424
2017_1112_1195,0.9633726822270742
2017_1112_1196,0.19082274430453258
2017_1112_1199,0.6473520694819586
2017_1112_1211,0.1687817009519447
2017_1112_1233,0.9689565701783807
2017_1112_1235,0.355961313731376
2017_1112_1240,0.9825294700196401
2017_1112_1242,0.2204905170087613
2017_1112_1243,0.5437180058525597
2017_1112_1245,0.9829639640374633
2017_1112_1246,0.2314030314000761
2017_1112_1257,0.3615122664653523
2017_1112_1266,0.6968314782331103
2017_1112_1268,0.8094956426427546
2017_1112_1274,0.740616164964608
2017_1112_1276,0.37565946742348977
2017_1112_1277,0.6657581016953246
2017_1112_1278,0.785538740115933
2017_1112_1291,0.9903492885641385
2017_1112_1292,0.9988328834192791
2017_1112_1297,0.9756689817317564
2017_1112_1300,0.992902166126491
2017_1112_1305,0.7747662871207027
2017_1112_1308,0.9314182575861226
2017_1112_1309,0.9834300875543034
2017_1112_1314,0.2015026321826224
2017_1112_1315,0.9854920357367503
2017_1112_1321,0.7231455730802808
2017_1112_1323,0.6014235603717878
2017_1112_1329,0.28524362846586526
2017_1112_1332,0.36495665856181514
2017_1112_1343,0.8389557138474332
2017_1112_1344,0.795731796134817
2017_1112_1345,0.4510617189322182
2017_1112_1348,0.6851775813193806
2017_1112_1355,0.9861139236086074
2017_1112_1371,0.7370813223340353
2017_1112_1374,0.39359330479415294
2017_1112_1376,0.4284099568009406
2017_1112_1388,0.4515038994191131
2017_1112_1407,0.9845919006429956
2017_1112_1411,0.9912517059569856
2017_1112_1413,0.9917977551591569
2017_1112_1417,0.5421909635656627
2017_1112_1423,0.8230905385939818
2017_1112_1425,0.7365699289447594
2017_1112_1433,0.7741042198472512
2017_1112_1435,0.6327289551434893
2017_1112_1436,0.8549595469007317
2017_1112_1437,0.19780557395640114
2017_1112_1438,0.32930755004000745
2017_1112_1439,0.7883348075049113
2017_1112_1448,0.6143314716039214
2017_1112_1452,0.28131959189628164
2017_1112_1455,0.22976493408154802
2017_1112_1457,0.9751455605518399
2017_1112_1458,0.31712489921227777
2017_1112_1462,0.4623288184070248
2017_1116_1124,0.22603630511145295
2017_1116_1137,0.8667267288314238
2017_1116_1139,0.4051369320528762
2017_1116_1153,0.3498305196223913
2017_1116_1166,0.49024657380904485
2017_1116_1173,0.718299077831111
2017_1116_1181,0.2965436811036407
2017_1116_1190,0.7845228957853725
2017_1116_1195,0.9367037534282432
2017_1116_1196,0.11714194871037062
2017_1116_1199,0.508078085756165
2017_1116_1211,0.10253303814517502
2017_1116_1233,0.9461259942203083
2017_1116_1235,0.23720913973088772
2017_1116_1240,0.9693653519892207
2017_1116_1242,0.1372980543009497
2017_1116_1243,0.40136393963102224
2017_1116_1245,0.9701172817268553
2017_1116_1246,0.14485834838790318
2017_1116_1257,0.24160293917943612
2017_1116_1266,0.5639355254046984
2017_1116_1268,0.705085038645518
2017_1116_1274,0.61634628358296
2017_1116_1276,0.25291644858258716
2017_1116_1277,0.5284583256888923
2017_1116_1278,0.6732971470023605
2017_1116_1291,0.9829753392587619
2017_1116_1292,0.9979275439718782
2017_1116_1297,0.9575587540274627
2017_1116_1300,0.9874541178081103
2017_1116_1305,0.6593317918635977
2017_1116_1308,0.8842776311931754
2017_1116_1309,0.970924506605857
2017_1116_1314,0.12433172089165218
2017_1116_1315,0.9745022927101663
2017_1116_1321,0.5950817897401911
2017_1116_1323,0.45916495361293813
2017_1116_1329,0.18336657077022514
2017_1116_1332,0.24434207541939884
2017_1116_1343,0.7456174766034043
2017_1116_1344,0.6866972167894655
2017_1116_1345,0.31615757183571824
2017_1116_1348,0.5504686386029062
2017_1116_1355,0.9755835875633292
2017_1116_1371,0.6120051191621068
2017_1116_1374,0.26750119545917617
2017_1116_1376,0.29661979724539966
2017_1116_1388,0.31654376479864027
2017_1116_1407,0.9729390309113874
2017_1116_1411,0.9845565264988967
2017_1116_1413,0.9855143670760688
2017_1116_1417,0.39988631245167766
2017_1116_1423,0.7235867008008512
2017_1116_1425,0.6113787130382127
2017_1116_1433,0.6584799804168769
2017_1116_1435,0.492209897670734
2017_1116_1436,0.7683355406284641
2017_1116_1437,0.1218345156654998
2017_1116_1438,0.21645878189139406
2017_1116_1439,0.676954784557932
2017_1116_1448,0.4726402112203116
2017_1116_1452,0.18049012864484304
2017_1116_1455,0.1437183413307556
2017_1116_1457,0.9566630414327609
2017_1116_1458,0.20716143991330344
2017_1116_1462,0.3260564618645776
2017_1124_1137,0.9570234130509473
2017_1124_1139,0.6998837197625306
2017_1124_1153,0.6481839494277509
2017_1124_1166,0.7670684985388176
2017_1124_1173,0.8972366067797171
2017_1124_1181,0.5907433225305422
2017_1124_1190,0.9257434690053403
2017_1124_1195,0.9806474983243796
2017_1124_1196,0.31239896787177884
2017_1124_1199,0.7795705476643867
2017_1124_1211,0.28119516722612725
2017_1124_1233,0.9836425317900611
2017_1124_1235,0.5156970000290685
2017_1124_1240,0.9908549939599317
2017_1124_1242,0.3527290502426722
2017_1124_1243,0.6965800913821952
2017_1124_1245,0.9910843101525384
2017_1124_1246,0.3671041129795476
2017_1124_1257,0.5217210428308111
2017_1124_1266,0.8157779165870638
2017_1124_1268,0.8911441533171133
2017_1124_1274,0.8461760830736035
2017_1124_1276,0.536866098718735
2017_1124_1277,0.7932793061381661
2017_1124_1278,0.8758806288909731
2017_1124_1291,0.9949673910763555
2017_1124_1292,0.9993938620374546
2017_1124_1297,0.9872213282104029
2017_1124_1300,0.9963032140638461
2017_1124_1305,0.8688886720050548
2017_1124_1308,0.9631880965244537
2017_1124_1309,0.9913302122705464
2017_1124_1314,0.3271323451329743
2017_1124_1315,0.9924166552131585
2017_1124_1321,0.8342239478383066
2017_1124_1323,0.7440536952498567
2017_1124_1329,0.4346625778432661
2017_1124_1332,0.5254357072923463
2017_1124_1343,0.9093911899927679
2017_1124_1344,0.882422545563025
2017_1124_1345,0.6128631804858322
2017_1124_1348,0.8074328077965198
2017_1124_1355,0.9927439028731673
2017_1124_1371,0.8437763497360299
2017_1124_1374,0.5556466916569359
2017_1124_1376,0.5908315286942951
2017_1124_1388,0.6132867674850097
2017_1124_1407,0.9919426399571374
2017_1124_1411,0.9954399679194537
2017_1124_1413,0.9957257223076179
2017_1124_1417,0.695277920532945
2017_1124_1423,0.8996348118906827
2017_1124_1425,0.8434284014606256
2017_1124_1433,0.86845630009015
2017_1124_1435,0.7684691694957629
2017_1124_1436,0.9190706797270959
2017_1124_1437,0.3220599779155763
2017_1124_1438,0.4861102772916443
2017_1124_1439,0.8776822562309934
