rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
1,Gonzaga,WCC,32-1,33.05,120.7,10,87.6,2,69.8,71,0.016,151,0.61,128,104.9,138,104.2,129,0.72,138,1,2017,Gonzaga
2,Villanova,BE,31-3,30.78,122.7,2,92,12,63.8,323,0.026,114,9.98,27,110.1,27,100.1,32,4.24,52,1,2017,Villanova
3,North Carolina,ACC,27-7,28.01,122.1,4,94.1,25,70.4,53,0.006,176,12.14,10,111.6,5,99.5,17,4.11,57,1,2017,North Carolina
4,Kentucky,SEC,29-5,27.27,119.2,14,91.9,9,72.5,16,0.008,171,9.79,28,109.4,38,99.6,23,3.93,58,2,2017,Kentucky
5,West Virginia,B12,26-8,26.8,116.5,28,89.7,5,69.6,79,-0.043,290,9.77,29,109.3,39,99.5,18,-7.91,342,4,2017,West Virginia
6,Louisville,ACC,24-8,26.72,117.1,23,90.4,6,67.7,180,-0.011,216,12.2,8,111.9,4,99.7,26,4.62,49,2,2017,Louisville
7,Virginia,ACC,22-10,26.67,113.7,38,87,1,58.6,351,-0.051,298,12.15,9,111.4,8,99.2,14,2.75,77,5,2017,Virginia
8,Wichita St.,MVC,30-4,26.41,119.6,12,93.2,19,68.4,133,-0.014,227,0.65,127,104.3,162,103.6,113,-0.03,162,10,2017,Wichita St
9,Florida,SEC,24-8,26.39,115.9,31,89.5,4,68.6,119,-0.046,292,11.61,13,110.1,28,98.5,5,8.86,11,4,2017,Florida
10,Kansas,B12,28-4,25.98,120.8,9,94.9,30,70,67,0.074,25,12.26,7,111.1,15,98.8,10,2.75,76,1,2017,Kansas
11,SMU,Amer,30-4,25.27,120.1,11,94.8,29,63.3,330,0.02,136,3.15,87,104.9,134,101.8,71,-1.15,200,6,2017,SMU
12,Duke,ACC,27-8,25.09,121,6,95.9,39,67.7,183,0.027,109,12.39,6,111.5,7,99.1,13,0.06,159,2,2017,Duke
13,Baylor,B12,25-7,25.01,117.3,22,92.3,14,62.8,337,0.002,181,12.77,5,111.3,10,98.5,6,1.64,116,3,2017,Baylor
